study_hours,attendance,previous_score,assignments_completed,sleep_hours,final_score
3.6,56.4,75.3,7,7.0,73.4
7.7,83.6,44.6,10,8.4,89.6
6.1,69.1,48.9,6,7.6,74.2
5.2,77.9,89.4,8,5.7,83.9
2.1,95.8,73.4,9,5.3,77.9
2.1,66.2,40.5,5,7.6,53.6
1.4,73.5,45.6,9,5.1,60.8
7.1,89.0,76.5,10,7.3,91.7
5.2,65.3,40.3,6,8.8,68.7
6.0,58.5,48.8,10,7.3,70.0
1.1,68.0,70.2,7,6.6,69.5
7.8,62.3,78.1,4,7.6,85.8
6.8,96.8,75.9,6,6.8,86.5
2.5,91.4,52.3,4,7.2,68.2
2.3,83.5,79.2,8,8.8,85.6
2.3,94.2,53.0,5,6.5,65.6
3.1,91.2,57.9,3,8.8,72.3
4.7,63.4,81.1,10,8.6,85.9
4.0,95.2,75.7,9,5.8,83.8
3.0,79.3,86.7,5,5.3,71.2
3.0,69.3,45.2,9,5.4,69.2
3.6,60.0,60.2,4,7.7,68.5
4.2,65.3,54.6,7,5.3,73.5
6.5,74.2,53.4,4,6.3,65.8
2.4,91.8,93.5,7,8.4,91.3
4.6,93.7,61.6,8,5.1,77.1
5.1,55.3,89.1,9,8.3,94.1
1.3,78.0,74.7,9,6.1,70.7
5.3,73.8,83.7,3,5.5,70.5
2.2,65.0,67.6,6,7.8,66.5
1.5,60.4,71.
